1|audio1.wav|Hello world, I am number 1.
2|audio2.wav|Hello world, I am number 2.
3|audio3.wav|Hello world, I am number 3.
4|audio4.wav|You selected get
5|audio5.wav|You selected put
6|audio6.wav|Welcome to vombix!
7|audio7.wav|Please say get price or update price.
8|audio8.wav|Please say one of get price or update price.
9|audio9.wav|You are in the gas price retriever updater.
10|audio10.wav|I am sorry, I didn't hear you.
11|audio11.wav|I am sorry, I didn't understand.
12|audio12.wav|Please enter the gas station i d.
13|audio13.wav|This functionality is currently not available.
14|audio14.wav|Do you want to start over?
15|audio15.wav|Thank you for calling vombix.  Goodbye!
16|audio16.wav|Please enter the price of regular.
17|audio17.wav|Please enter the price of midgrade.
18|audio18.wav|Please enter the price of premium.
19|audio19.wav|Please enter the price of
20|audio20.wav|regular
21|audio21.wav|midgrade
22|audio22.wav|premium
23|audio23.wav|The price of
24|audio24.wav|at this location is set to
25|audio25.wav|Please enter the gas station i d provided by gas price watch.
26|audio26.wav|Do you want to update price for another grade?
